Snum,Title,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude
1,Las Vegas Strip mass shooting,"Las Vegas, NV",10/1/2017,58,515,573,Unclear,Unknown,Male,,
2,San Francisco UPS shooting,"San Francisco, CA",6/14/2017,3,2,5,Yes,Asian,Male,,
3,Pennsylvania supermarket shooting,"Tunkhannock, PA",6/7/2017,3,0,3,Unclear,White,Male,,
4,Florida awning manufacturer shooting,"Orlando, Florida",6/5/2017,5,0,5,Unclear,Unknown,Male,,
5,Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/2017,3,0,3,Yes,White,Male,,
6,Fresno downtown shooting,"Fresno, California",4/18/2017,3,0,3,Unclear,Black,Male,,
7,Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",1/6/2017,5,6,11,Yes,Latino,Male,,
8,Cascade Mall shooting,"Burlington, WA",9/23/2016,5,0,5,Yes,Unknown,Male,,
9,Baton Rouge police shooting,"Baton Rouge, LA",7/17/2016,3,3,6,Yes,Black,Male,,
10,Dallas police shooting,"Dallas, Texas",7/7/2016,5,11,16,Unclear,Black,Male,,
11,Orlando nightclub massacre,"Orlando, Florida",6/12/2016,49,53,102,Unclear,Unknown,Male,,
12,"Ferguson, MO Drive by","Ferguson, Missouri",4/29/2016,0,4,4,Unknown,Unknown,Unknown,38.744217,-90.305391
13,"Forestville, Maryland Drive-by","42486, ",4/26/2016,1,4,5,Unknown,Unknown,Unknown,38.845113,-76.874972
14,"Halifax County, VA","42484, ",4/24/2016,0,6,6,Unknown,Black American or African American,Male,36.765971,-78.928344
15,Tire-Slashing revenge escalation,"42481, ",4/21/2016,0,4,4,Unknown,Black American or African American,Male,39.290385,-76.612189
16,Chicago Rap video Shootout,"42479, ",4/19/2016,1,4,5,Unknown,Unknown,Unknown,41.878114,-87.629798
17,Texas family murder-suicide,"42479, ",4/19/2016,4,0,4,Unknown,White American or European American,Male,29.785785,-95.824396
18,Alabama highway random shooting,"42479, ",4/19/2016,1,4,4,Yes,White American or European American,Male,34.16204,-86.475543
19,Long Beach Street murder,"42478, ",4/18/2016,0,3,4,Unknown,Unknown,Unknown,33.77005,-118.193739
20,"Albuquerque, NM House party shooting","42469, ",4/9/2016,0,4,4,Unknown,White American or European American,Male,35.085334,-106.605553
21,"Memphis, TN gas station shooting","42469, ",4/9/2016,0,4,4,Unknown,Unknown,Unknown,35.149534,-90.04898
22,Chicago Birthday Party Bus Shooting,"42467, ",4/7/2016,0,5,5,Unknown,Unknown,Unknown,41.878114,-87.629798
23,"Albuquerque, NM Family restaurant shooting","42461, ",4/1/2016,3,1,3,Unknown,Asian American,Male,35.085334,-106.605553
24,"Richmond, Virginia","Richmond, Virginia",3/31/2016,2,2,3,Unknown,Black American or African American,Male,37.540725,-77.436048
25,"Louisburg, North Carolina","Louisburg, North Carolina",3/26/2016,3,0,3,Unknown,Black American or African American,Male,36.099039,-78.301106
26,"Lawrenceburg, Tennessee","Lawrenceburg, Tennessee",3/25/2016,2,2,3,Unknown,Unknown,Male,35.242302,-87.334739
27,"Greenhill, AL Family murder-suicide","42454, ",3/25/2016,2,2,3,Yes,White American or European American,Male,34.759257,-86.602493
28,"Sherman, Texas","Sherman, Texas",3/21/2016,4,0,3,Unknown,Unknown,Male,33.635662,-96.60888
29,"Sherman, TX Family murder-suicide","42450, ",3/21/2016,4,0,3,Unknown,White American or European American,Male,33.635662,-96.60888
30,"Louisville, Kentucky","Louisville, Kentucky",3/20/2016,4,0,3,Unknown,White American or European American,Male,38.252665,-85.758456
31,"Louisville, KY Family Murder-Suicide","42449, ",3/20/2016,4,0,3,Yes,White American or European American,Male,38.252665,-85.758456
32,"Plantation, Florida","Plantation, Florida",3/19/2016,1,4,5,Unknown,Unknown,Unknown,26.127586,-80.233104
33,Wetumpka Drive-by,"42448, ",3/19/2016,2,2,4,Unknown,Black American or African American,Male,32.543745,-86.211913
34,Spring Break Party shooting,"42448, ",3/19/2016,1,4,5,Unknown,Unknown,Unknown,26.127586,-80.233104
35,Atlanta Nightclub shooting,"42444, ",3/15/2016,0,4,4,Unknown,Unknown,Unknown,33.748995,-84.387982
36,Florida Family celebration ends in shooting,"42442, ",3/13/2016,0,4,4,Unknown,Unknown,Unknown,26.640628,-81.872308
37,"Elberton, Georgia murder-suicide","42441, ",3/12/2016,2,2,3,Unknown,Unknown,Male,34.111223,-82.867084
38,"Trenton, NJ sidewalk shooting","42440, ",3/11/2016,0,5,5,Unknown,Unknown,Unknown,40.217053,-74.742938
39,Detroit Drive-by,"42440, ",3/11/2016,2,2,4,Unknown,Unknown,Unknown,42.331427,-83.045754
40,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania",3/9/2016,6,3,9,Unknown,Unknown,Male,40.440625,-79.995886
41,Wilkinsburg BBQ cookout shootout,"42438, ",3/9/2016,5,3,8,Unknown,Unknown,Male,40.441736,-79.881994
42,"Kansas City, Kansas","Kansas City, Kansas",3/7/2016,5,0,5,Unknown,Unknown,Male,39.114053,-94.627464
43,"Lafayette, LA drive by","42436, ",3/7/2016,0,4,4,Unknown,Unknown,Unknown,30.22409,-92.019843
44,Kansas City Home Invasion,"42436, ",3/7/2016,4,0,4,Unknown,Unknown,Male,39.114053,-94.627464
45,"Chelsea, Massachusetts","Chelsea, Massachusetts",3/6/2016,1,6,7,Unknown,Unknown,Male,42.391764,-71.032828
46,"Chelsea, MA empty apartment party shooting","42435, ",3/6/2016,1,6,7,Unknown,Unknown,Male,42.391764,-71.032828
47,"Roswell, GA Hookah shootout","42435, ",3/6/2016,0,4,4,Unknown,Black American or African American,Male,34.023243,-84.361556
48,Wichita Nightclub shooting,"42434, ",3/5/2016,0,4,4,Unknown,Unknown,Unknown,37.687176,-97.330053
49,Detroit Strip Club Shootout,"42428, ",2/28/2016,0,5,5,Unknown,Black American or African American,Male,42.331427,-83.045754
50,Riverside restaurant shooting,"42428, ",2/28/2016,1,3,4,Unknown,Unknown,Male,33.997197,-117.48548
51,"Woodbridge, Virginia","Woodbridge,  Virginia",2/27/2016,2,2,4,Unknown,Black American or African American,Male,38.6697,-77.3524
52,"Belfair, Washington","Belfair, Washington",2/26/2016,5,0,4,Unknown,White American or European American,Male,47.5033,-122.931
53,Excel Industries mass shooting,"Hesston, Kansas",2/25/2016,3,14,17,Unclear,Black,M,,
54,"Hesston, Kansas","Hesston, Kansas",2/25/2016,4,14,17,Unknown,Black American or African American,Male,38.1368,-97.4268
55,"Belfair, WA Family murder-suicide","42425, ",2/25/2016,5,0,4,Unknown,White American or European American,Male,47.451459,-122.826946
56,"Glendale, Arizona","Glendale, Arizona",2/23/2016,5,0,4,Yes,Unknown,Male,33.5927,-112.163
57,Arizona Family Murder,"42423, ",2/23/2016,5,0,4,Unknown,White American or European American,Male,33.448377,-112.074037
58,Missouri Highway shooting,"42421, ",2/21/2016,1,3,4,Unknown,Black American or African American,Male,38.77144,-90.370949
59,Houston Drive-by,"42421, ",2/21/2016,0,5,5,Unknown,Unknown,Unknown,29.760427,-95.369803
60,Kalamazoo shooting spree,"Kalamazoo County, Michigan",2/20/2016,6,2,8,Unclear,White,M,,
61,"Iuka, Mississippi","Iuka, Mississippi",2/20/2016,2,3,4,Unknown,White American or European American,Male,34.7404,-88.1383
62,"Kalamazoo, Michigan","Kalamazoo, Michigan",2/20/2016,6,2,8,Unknown,White American or European American,Male,42.2354,-85.676
63,Florida Hookah Bar Shooting,"42420, ",2/20/2016,1,3,4,Unknown,Unknown,Unknown,27.950575,-82.457178
64,Kalamazoo Uber Driver Spree Killing,"42420, ",2/20/2016,6,2,8,No,White American or European American,Male,42.291707,-85.587229
65,"Vallejo, CA car shooting","42419, ",2/19/2016,2,2,4,Unknown,Unknown,Unknown,38.104086,-122.256637
66,Michigan school shooting,"42409, ",2/9/2016,0,3,3,Unknown,Black American or African American,Male,43.201126,-86.238946
67,"Orlando, Florida","Orlando, Florida",2/7/2016,2,10,12,Unknown,Unknown,Male,28.4541,-81.4646
68,Nightclub fight turns into shootout,"42407, ",2/7/2016,1,7,8,Unknown,Unknown,Unknown,43.16103,-77.610922
69,"Tampa, FL Strip club shooting","42406, ",2/6/2016,2,6,8,Unknown,Unknown,Unknown,27.950575,-82.457178
70,"Los Angeles, CA street shooting","42406, ",2/6/2016,1,3,4,Unknown,Unknown,Unknown,34.052234,-118.243685
71,Texas teen commits family murder suicide,"42406, ",2/6/2016,4,0,3,Unknown,White American or European American,Male,29.209684,-99.786168
72,New Orleans gas station shoot-out,"42400, ",1/31/2016,0,3,3,Unknown,Black American or African American,Male,29.951066,-90.071532
73,"Glendale, AZ House Party shooting","42399, ",1/30/2016,3,5,8,Unknown,Unknown,Male,33.538652,-112.185987
74,"Caroline County, VA Family Murder Suicide","42398, ",1/29/2016,2,2,3,Unknown,Unknown,Male,38.044556,-77.286488
75,"Chesapeake, Virginia","Chesapeake, Virginia",1/27/2016,6,0,5,Yes,White American or European American,Male,36.7921,-76.3293
76,"Chesapeake, VA Family Murder Suicide","42396, ",1/27/2016,6,0,5,Unknown,White American or European American,Male,36.768209,-76.287493
77,"Perris, CA Mexican restaurant shooting","42394, ",1/25/2016,1,4,5,Unknown,Unknown,Male,33.782519,-117.228648
78,Florida family murder,"42392, ",1/23/2016,3,0,3,Unknown,White American or European American,Male,30.754181,-86.572799
79,Los Angeles Drive-by,"42392, ",1/23/2016,2,2,4,Unknown,Unknown,Unknown,34.052234,-118.243685
80,"Gloucester County, VA, House Party","42386, ",1/17/2016,1,3,4,Unknown,Black American or African American,Male,37.40264,-76.458559
81,"Wilmington, DE robbery","42380, ",1/11/2016,1,4,5,Unknown,Black American or African American,Male,39.739072,-75.539788
82,"Roadside in Memphis, Tennessee","42376, ",1/7/2016,1,3,4,Unknown,Unknown,Unknown,35.149534,-90.04898
83,"Residence in Lakeland, Florida","42375, ",1/6/2016,3,1,4,Unknown,Black American or African American,Male,28.039465,-81.949804
84,"Omaha, Nebraska","Omaha, Nebraska",12/6/2015,2,3,5,Unknown,Black American or African American,Male,41.3138,-96.0814
85,San Bernardino mass shooting,"San Bernardino, California",12/2/2015,14,21,35,Unclear,Unknown,M/F,,
86,"San Bernardino, California","San Bernardino, California",12/2/2015,16,21,35,Unknown,Asian American,Male/Female,34.13973446,-117.2942444
87,Planned Parenthood clinic,"Colorado Springs, Colorado",11/27/2015,3,9,12,Unclear,White,M,,
88,"Colorado Springs, Colorado","Colorado Springs, Colorado",11/27/2015,3,9,12,Unknown,White American or European American,Male,38.86730659,-104.7572279
89,"Columbus, Ohio","Columbus, Ohio",11/23/2015,4,1,4,Unknown,White American or European American,Male,39.98861445,-82.98904135
90,"Minneapolis, Minnesota","Minneapolis, Minnesota",11/23/2015,0,5,5,Unknown,White American or European American,Male,44.96358722,-93.26783687
91,"Tennessee Colony, Texas","Tennessee Colony, Texas",11/15/2015,6,0,6,Unknown,White American or European American,Male,31.8076,-95.8069
92,"Jacksonville, Florida","Jacksonville, Florida",11/13/2015,4,1,4,Unknown,Black American or African American,Male,30.33216122,-81.67576993
93,"Waycross, GA","Waycross, Georgia",11/7/2015,1,2,3,Yes,Black American or African American,Male,31.21094544,-82.35793452
94,"Oakland, Maine","Oakland, Maine",11/4/2015,4,0,3,Unknown,Unknown,Male,44.54994725,-69.70782299
95,Colorado Springs shooting rampage,"Colorado Springs, Colorado",10/31/2015,3,0,3,Unclear,White,M,,
96,Colorado Springs,"Colorado Springs, Colorado",10/31/2015,4,0,3,Unknown,White American or European American,Male,38.86730659,-104.7572279
97,"Colerain Township, Ohio","Colerain Township, Ohio",10/21/2015,2,1,3,Unknown,White American or European American,Male,39.253268,-84.599655
98,Northern Arizona University at Flagstaff Campus,"Flagstaff, Arizona",10/9/2015,1,3,4,Unknown,White American or European American,Male,35.1725658,-111.6585435
99,Umpqua Community College shooting,"Roseburg, Oregon",10/1/2015,9,9,18,Unclear,Unknown,Male,,
100,Umpqua Community College,"Roseburg, Oregon",10/1/2015,10,7,16,Unknown,Unknown,Male,43.22205555,-123.3522367
101,"Inglis, Florida","Inglis, Florida",10/1/2015,3,1,3,Unknown,White American or European American,Male,29.03270634,-82.65919302
102,Hill Haven Event Center (Formerly Club CJ's),"Greenville, Georgia",9/27/2015,0,10,10,Unknown,Black American or African American,Male,33.02912644,-84.7143335
103,"Platte, South Dakota","Platte, South Dakota",9/17/2015,6,0,5,Unknown,White American or European American,Male,43.38682722,-98.84357239
104,"Clearbrook (Greenwood), Minnesota","Clearbrook (Greenwood), Minnesota",9/10/2015,5,0,4,Yes,White American or European American,Male,47.69618799,-95.42844094
105,"Bristol, Tennessee","Bristol, Tennessee",8/29/2015,3,1,4,Unknown,White American or European American,Male,36.55605824,-82.21429551
106,Virginia WDBJ live TV interview shooting,"Roanoke, Virginia",8/26/2015,3,1,3,Unknown,Black American or African American,Male,37.27823366,-79.95816104
107,Parking lot near Boys and Girls Club,"Rochester, New York",8/19/2015,3,4,7,Unknown,Black American or African American,Male,43.1696837,-77.614337
108,"Houston, Texas","Houston, Texas",8/8/2015,8,0,8,Unknown,Black American or African American,Male,29.79705548,-95.36763856
109,"Grand 16 Theatre, Louisiana","Lafayette, Louisiana",7/23/2015,3,9,11,Yes,White American or European American,Male,30.21233538,-92.0316453
110,Suwanee,"Suwanee, Georgia",7/22/2015,4,1,4,Unknown,White American or European American,Male,34.05057545,-84.06872262
111,Chattanooga military recruitment center,"Chattanooga, Tennessee",7/16/2015,5,2,7,Unclear,Unknown,Male,35.047157,-85.311819
112,"Amnicola Training Center, Chattanooga","Chattanooga, Tennessee",7/16/2015,5,3,7,Yes,White American or European American,Male,35.09318123,-85.23676751
113,River Forest,"River Forest, Illinois",7/12/2015,2,3,4,Unknown,Unknown,Male,41.89499946,-87.81941392
114,Boom Boom Room,"Morven, North Carolina",6/20/2015,0,4,4,Unknown,Black American or African American,Male,34.86379864,-79.9996781
115,Charleston Church Shooting,"Charleston, South Carolina",6/17/2015,9,1,10,Unknown,White,Male,32.788387,-79.933143
116,Mother Emanuel AME Church,"Charleston, South Carolina",6/17/2015,9,0,9,Unknown,White American or European American,Male,32.8129729,-79.96693995
117,Miami Gardens,"Miami Gardens, Florida",6/16/2015,0,4,4,Unknown,Black American or African American,Male,25.94326707,-80.24253243
118,Trestle Trail bridge shooting,"Menasha, Wisconsin",6/11/2015,3,1,4,Yes,Latino,M,,
119,Deer Lodge,"Deer Lodge, Montana",6/7/2015,5,0,4,Unknown,White American or European American,Male,46.39761858,-112.7329333
120,Cleveland,"Cleveland, Ohio",5/31/2015,3,1,3,Unknown,Unknown,Male,41.47657557,-81.68051502
121,Conyers,"Conyers, Georgia",5/31/2015,3,2,4,Unknown,White American or European American,Male,33.66086267,-84.02688527
122,Club Maxey's,"Decatur, Illinois",5/25/2015,1,4,5,Unknown,Black American or African American,Male,39.85566372,-88.93346458
123,Tucson,"Tucson, Arizona",5/12/2015,5,0,4,Yes,Unknown,Male,32.15358905,-110.9677647
124,Annual motorcycle event in Newark,"Newark, New Jersey",5/10/2015,1,3,4,Unknown,Black American or African American,Male,40.73169648,-74.18417699
125,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,"Menasha, Wisconsin",5/3/2015,4,1,4,Yes,Unknown,Male,44.20455909,-88.4484585
126,Milwaukee,"Milwaukee, Wisconsin",5/1/2015,2,3,5,No,Unknown,Male,43.06420322,-87.96724385
127,Gates Pub,"Gates, New York",4/25/2015,1,6,7,Unknown,Black American or African American,Male,43.15693027,-77.69300856
128,Killeen,"Killeen, Texas",4/21/2015,2,3,5,Unknown,Black American or African American,Male,31.07925506,-97.73392317
129,Phoenix,"Phoenix, Arizona",4/16/2015,5,0,4,Unknown,Unknown,Male,33.57145875,-112.0904854
130,Rome,"Rome, Georgia",4/7/2015,1,3,4,No,Black American or African American,Male,34.26779152,-85.18822422
131,Indianapolis,"Indianapolis, Indiana",4/5/2015,0,5,5,No,Unknown,Male,39.77725479,-86.14635359
132,Daytona Beach,"Daytona Beach, Florida",4/3/2015,0,4,4,No,Black American or African American,Male,29.19313443,-81.10173014
133,Tulsa,"Tulsa, Oklahoma",3/30/2015,4,0,3,Unknown,Asian American,Male,36.13543238,-95.91316117
134,Panama City Beach,"Panama City Beach, Florida",3/28/2015,0,7,7,No,Black American or African American,Male,30.22540212,-85.87371301
135,Little Water,"Little Water, New Mexico",3/19/2015,2,2,3,Unknown,Unknown,Male,36.44329,-108.723281
136,Mesa,"Mesa, Arizona",3/18/2015,1,5,6,No,White American or European American,Male,33.42268696,-111.8163202
137,Cottonwood,"Cottonwood, Alabama",3/15/2015,3,1,3,No,White American or European American,Male,31.0549687,-85.30100084
138,Brookhaven,"Brookhaven, Mississippi",3/13/2015,2,3,5,Unknown,Black American or African American,Male,31.58036482,-90.44323475
139,Tarboro,"Tarboro, North Carolina",2/28/2015,4,0,3,Yes,Black American or African American,Male,35.90434471,-77.55639964
140,Birmingham's Washington Park,"Birmingham, Alabama",2/27/2015,1,2,3,No,Black American or African American,Male,33.5282865,-86.79550448
141,Tyrone,"Tyrone, Missouri",2/26/2015,8,1,8,No,White American or European American,Male,37.204442,-91.876583
142,Charlotte,"Charlotte, North Carolina",2/24/2015,3,0,3,No,Unknown,Male,35.226354,-80.836788
143,Clarkesville,"Clarkesville, Georgia",2/22/2015,3,2,4,No,White American or European American,Male,34.61025711,-83.52918091
144,Killeen,"Killeen, Texas",2/22/2015,4,1,4,No,Black American or African American,Male,31.07925506,-97.73392317
145,Chapel Hill,"Chapel Hill, North Carolina",2/10/2015,3,0,3,No,White American or European American,Male,35.92681467,-79.03850407
146,Moon Lake,"New Port Richey, Florida",2/9/2015,3,1,4,No,White American or European American,Male/Female,28.24653304,-82.71690259
147,Monroeville Macy's,"Monroeville, Pennsylvania",2/7/2015,0,3,3,No,Black American or African American,Male,40.4257455,-79.76092565
148,Douglasville,"Douglasville, Georgia",2/7/2015,5,2,6,No,Black American or African American,Male,33.71059292,-84.71564276
149,"King, North Carolina","King, North Carolina",2/4/2015,4,0,3,Unknown,White American or European American,Male,36.27617912,-80.35501402
150,McAvan's Pub,"Syracuse, New York",2/1/2015,0,6,6,No,Black American or African American,Male,43.04093416,-76.14376763
151,LaGrange,"LaGrange, Georgia",1/28/2015,5,0,5,No,White American or European American,Male,33.03607062,-85.0287065
152,Queens,"New York City, New York",1/24/2015,4,1,4,No,Black American or African American,Male,40.68996411,-73.8720502
153,Omaha,"Omaha, Nebraska",1/24/2015,3,5,8,No,Black American or African American,Male,41.265922,-96.05381421
154,Moscow,"Moscow, Idaho",1/10/2015,3,1,4,No,Asian American,Male,46.73059479,-116.9990042
155,Memphis,"Memphis, Tennessee",1/1/2015,0,5,5,No,Black American or African American,Male,35.10528976,-89.97734924
156,"Pennsburg, Souderton, Lansdale, Harleysville","Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania",12/15/2014,7,1,7,Yes,White American or European American,Male,40.39359306,-75.49640881
157,Morgantown,"Morgantown, West Virginia",12/1/2014,5,0,4,No,White American or European American,Male,39.63400851,-79.94839325
158,Florida State University,"Tallahassee, Florida",11/19/2014,1,3,3,Yes,Black American or African American,Male,30.4549394,-84.25264151
159,Marysville-Pilchuck High School shooting,"Marysville, Washington",10/24/2014,5,1,6,Unclear,Native American,Male,48.050824,-122.176918
160,Marysville-Pilchuck High School,"Marysville, Washington",10/24/2014,5,1,5,No,Native American or Alaska Native,Male,48.04802409,-122.1359622
161,Albuquerque Auto Shop,"Albuquerque, New Mexico",8/8/2014,2,3,4,No,Unknown,Male,35.15290522,-106.7791378
162,Bourbon Street New Orleans,"New Orleans, Louisiana",6/29/2014,1,9,10,No,Unknown,Male,30.0687242,-89.93147412
163,Nellis Plaza,"Las Vegas, Nevada",6/8/2014,5,0,3,No,White American or European American,Male/Female,36.18931923,-115.3264875
164,Seattle Pacific University,"Seattle, Washington",6/5/2014,1,2,3,Yes,Unknown,Male,47.62199575,-122.323646
165,Isla Vista mass murder,"Santa Barbara, California",5/23/2014,6,13,19,Yes,White,M,,
166,Isla Vista,"Isla Vista, California",5/23/2014,7,7,10,Yes,White American or European American,Male,34.4145857,-119.8581209
167,Kennesaw FedEx,"Kennesaw, Georgia",4/29/2014,1,6,6,No,White American or European American,Male,34.02529674,-84.61766831
168,Fort Hood shooting 2,"Fort Hood, Texas",4/3/2014,3,12,15,Unclear,Latino,M,,
169,Fort Hood,"Killeen, Texas",4/2/2014,4,16,19,Yes,Unknown,Male,31.07925506,-97.73392317
170,San Francisco Tenderloin,"San Francisco, CA",3/23/2014,0,8,8,No,Black American or African American,Male,37.75457839,-122.4424343
171,Alturas tribal shooting,"Alturas, California",2/20/2014,4,2,6,Unknown,Native American,Female,41.487104,-120.542237
172,Cedarville Rancheria Tribe,"Alturas, California",2/20/2014,4,2,6,No,Native American or Alaska Native,Female,41.4911123,-120.549091
173,Centennial Hill Bar & Grill,"Montgomery, Alabama",12/28/2013,3,5,8,No,Black American or African American,Male,32.34729571,-86.26730242
174,Los Angeles International Airport (LAX),"Los Angeles, California",11/1/2013,1,3,4,No,White American or European American,Male,34.17622092,-118.5399542
175,Sparks Middle School,"Sparks, Nevada",10/21/2013,2,2,3,Unknown,Unknown,Male,39.54058388,-119.748291
176,Washington Navy Yard shooting,"Washington, D.C.",9/16/2013,12,8,20,Yes,Black,Male,38.874981,-76.99453
177,Washington Navy Yard,Washington D.C.,9/16/2013,13,3,15,Yes,Black American or African American,Male,38.90480894,-77.01629717
178,Oklahoma City Residence,"Oklahoma City, Oklahoma",8/14/2013,4,0,4,Yes,White American or European American,Male,35.46779189,-97.5191631
179,Homes in Desoto and Dallas,"Dallas, Texas",8/7/2013,4,4,8,Unknown,Black American or African American,Male,32.79480596,-96.76631094
180,Ross Township Supervisor Council Meeting,"Salisbury , Pennsylvania",8/5/2013,3,3,6,No,White American or European American,Male,39.75344279,-79.08435956
181,Hialeah apartment shooting,"Hialeah, Florida",7/26/2013,7,0,7,Unclear,Latino,Male,25.8670105,-80.29146268
182,Hialeah Apartments,"Hialeah, Florida",7/26/2013,7,0,6,No,Unknown,Male,25.85294547,-80.28316975
183,Santa Monica rampage,"Santa Monica, California",6/7/2013,6,3,9,Yes,White,Male,34.008617,-118.494754
184,Santa Monica College,"Santa Monica, California",6/7/2013,6,3,8,Yes,White American or European American,Male,34.02319149,-118.4815644
185,Village of Manchester in Illinois,"Manchester, Illinois",4/24/2013,7,1,7,Unknown,White American or European American,Male,39.54231335,-90.33029852
186,Pinewood Village Apartment shooting,"Federal Way, Washington",4/21/2013,5,0,5,No,Black,Male,47.3129607,-122.3393665
187,Pinewood Village Apartments,"Federal Way, Washington",4/21/2013,5,0,4,Unknown,Black American or African American,Male,47.30909721,-122.3357553
188,Mohawk Valley shootings,"Herkimer County, New York",3/13/2013,5,2,7,No,White,Male,43.045601,-74.984891
189,Mohawk and Herkimer Villages in New York,"Mohawk, New York",3/13/2013,5,2,6,No,White American or European American,Male,43.0104011,-75.0075119
190,"Ladera Ranch, Santa Ana, Tustin and Orange","Ladera Ranch, California",2/19/2013,4,3,6,Yes,White American or European American,Male,33.54961059,-117.6415707
191,Los Angeles Police Department,"Irvine, California",2/3/2013,4,2,7,Yes,Black American or African American,Male,33.67803464,-117.773628
192,Phoenix Law Firm,"Phoenix, Arizona",1/30/2013,3,1,3,Unknown,White American or European American,Male,33.57145875,-112.0904854
193,South Valley Residence,"South Valley, Albuquerque, New Mexico",1/19/2013,5,0,5,Yes,Unknown,Male,35.15290522,-106.7791378
194,Newtown school shooting,"Newtown, Connecticut",12/14/2012,28,2,30,Yes,White,Male,41.4123225,-73.31142358
195,Sandy Hook Elementary School,"Newtown, Connecticut",12/14/2012,28,2,29,Yes,White American or European American,Male,41.41190846,-73.31196267
196,Clackamas Town Center,"Happy Valley, Oregon",12/11/2012,3,1,3,No,Unknown,Male,45.44853107,-122.5440133
197,Azana Spa in Brookfield,"Brookfield, Wisconsin",10/21/2012,4,4,7,No,Black American or African American,Male,43.06396691,-88.12299758
198,The Spot Nightclub,"Miami, Florida",9/28/2012,0,15,15,Unknown,Black American or African American,Male,25.79653943,-80.20840397
199,Accent Signage Systems shooting,"Minneapolis, Minnesota",9/27/2012,7,1,8,Yes,White,Male,44.9772995,-93.2654692
200,Accent Signage Systems in Minneapolis,"Minneapolis, Minnesota",9/27/2012,7,2,8,Yes,White American or European American,Male,44.96358722,-93.26783687
201,Sikh temple shooting,"Oak Creek, Wisconsin",8/5/2012,7,3,10,Yes,White,Male,42.8858503,-87.8631362
202,Sikh Temple in Wisconsin,"Oak Creek, Wisconsin",8/5/2012,7,4,10,No,White American or European American,Male,42.88027442,-87.90087079
203,Aurora theater shooting,"Aurora, Colorado",7/20/2012,12,70,82,Yes,White,Male,39.709283,-104.823488
